	OrphaNumber	Disease_name	GeneAssociationCount	Associated_genes	Gene_IDs	Association_types	Association_statuses
751	2065	Galloway-Mowat syndrome	8	['O-sialoglycoprotein endopeptidase', 'TP53 regulating kinase', 'WD repeat domain 73', 'nucleoporin 107', 'TP53RK binding protein', 'L antigen family member 3', 'WD repeat domain 4', 'nucleoporin 133']	[{'ExternalReference': [{'id': '147597', 'Source': 'HGNC', 'Reference': '18028'}, {'id': '147598', 'Source': 'Ensembl', 'Reference': 'ENSG00000092094'}, {'id': '147599', 'Source': 'SwissProt', 'Reference': 'Q9NPF4'}, {'id': '147600', 'Source': 'OMIM', 'Reference': '610107'}, {'id': '147601', 'Source': 'Genatlas', 'Reference': 'OSGEP'}, {'id': '147602', 'Source': 'Reactome', 'Reference': 'Q9NPF4'}], 'count': '6'}, {'ExternalReference': [{'id': '156273', 'Source': 'IUPHAR', 'Reference': '2248'}, {'id': '147604', 'Source': 'HGNC', 'Reference': '16197'}, {'id': '147605', 'Source': 'Ensembl', 'Reference': 'ENSG00000172315'}, {'id': '147606', 'Source': 'SwissProt', 'Reference': 'Q96S44'}, {'id': '147607', 'Source': 'OMIM', 'Reference': '608679'}, {'id': '147608', 'Source': 'Genatlas', 'Reference': 'TP53RK'}, {'id': '147609', 'Source': 'Reactome', 'Reference': 'Q96S44'}], 'count': '7'}, {'ExternalReference': [{'id': '95097', 'Source': 'Ensembl', 'Reference': 'ENSG00000177082'}, {'id': '95095', 'Source': 'Genatlas', 'Reference': 'WDR73'}, {'id': '95093', 'Source': 'HGNC', 'Reference': '25928'}, {'id': '95094', 'Source': 'OMIM', 'Reference': '616144'}, {'id': '95096', 'Source': 'SwissProt', 'Reference': 'Q6P4I2'}], 'count': '5'}, {'ExternalReference': [{'id': '96874', 'Source': 'Ensembl', 'Reference': 'ENSG00000111581'}, {'id': '96871', 'Source': 'Genatlas', 'Reference': 'NUP107'}, {'id': '96869', 'Source': 'HGNC', 'Reference': '29914'}, {'id': '96870', 'Source': 'OMIM', 'Reference': '607617'}, {'id': '96873', 'Source': 'Reactome', 'Reference': 'P57740'}, {'id': '96872', 'Source': 'SwissProt', 'Reference': 'P57740'}], 'count': '6'}, {'ExternalReference': [{'id': '147611', 'Source': 'HGNC', 'Reference': '24259'}, {'id': '147612', 'Source': 'Ensembl', 'Reference': 'ENSG00000144034'}, {'id': '147613', 'Source': 'SwissProt', 'Reference': 'Q9Y3C4'}, {'id': '147614', 'Source': 'OMIM', 'Reference': '608680'}, {'id': '147615', 'Source': 'Genatlas', 'Reference': 'TPRKB'}, {'id': '147616', 'Source': 'Reactome', 'Reference': 'Q9Y3C4'}], 'count': '6'}, {'ExternalReference': [{'id': '147618', 'Source': 'HGNC', 'Reference': '26058'}, {'id': '147619', 'Source': 'Ensembl', 'Reference': 'ENSG00000196976'}, {'id': '147620', 'Source': 'SwissProt', 'Reference': 'Q14657'}, {'id': '147621', 'Source': 'OMIM', 'Reference': '300060'}, {'id': '147622', 'Source': 'Genatlas', 'Reference': 'LAGE3'}, {'id': '147623', 'Source': 'Reactome', 'Reference': 'Q14657'}], 'count': '6'}, {'ExternalReference': [{'id': '144103', 'Source': 'Genatlas', 'Reference': 'WDR4'}, {'id': '131852', 'Source': 'HGNC', 'Reference': '12756'}, {'id': '133419', 'Source': 'Ensembl', 'Reference': 'ENSG00000160193'}, {'id': '133299', 'Source': 'SwissProt', 'Reference': 'P57081'}, {'id': '132570', 'Source': 'OMIM', 'Reference': '605924'}, {'id': '134615', 'Source': 'Reactome', 'Reference': 'P57081'}], 'count': '6'}, {'ExternalReference': [{'id': '161213', 'Source': 'Ensembl', 'Reference': 'ENSG00000069248'}, {'id': '161214', 'Source': 'SwissProt', 'Reference': 'Q8WUM0'}, {'id': '161215', 'Source': 'Reactome', 'Reference': 'Q8WUM0'}, {'id': '161216', 'Source': 'OMIM', 'Reference': '607613'}, {'id': '161217', 'Source': 'HGNC', 'Reference': '18016'}], 'count': '5'}]	['Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) (loss of function) in', 'Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) (loss of function) in']	['Assessed', 'Assessed', 'Assessed', 'Assessed', 'Assessed', 'Assessed', 'Assessed', 'Assessed']
752	157941	Huntington disease-like 1	1	['prion protein']	[{'ExternalReference': [{'id': '57623', 'Source': 'Ensembl', 'Reference': 'ENSG00000171867'}, {'id': '25113', 'Source': 'Genatlas', 'Reference': 'PRNP'}, {'id': '25111', 'Source': 'HGNC', 'Reference': '9449'}, {'id': '25110', 'Source': 'OMIM', 'Reference': '176640'}, {'id': '57624', 'Source': 'Reactome', 'Reference': 'P04156'}, {'id': '33253', 'Source': 'SwissProt', 'Reference': 'P04156'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
753	2072	Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome	1	['glucosylceramidase beta']	[{'ExternalReference': [{'id': '58133', 'Source': 'Ensembl', 'Reference': 'ENSG00000177628'}, {'id': '29734', 'Source': 'Genatlas', 'Reference': 'GBA'}, {'id': '29736', 'Source': 'HGNC', 'Reference': '4177'}, {'id': '29735', 'Source': 'OMIM', 'Reference': '606463'}, {'id': '58134', 'Source': 'Reactome', 'Reference': 'P04062'}, {'id': '33121', 'Source': 'SwissProt', 'Reference': 'P04062'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
754	157954	ANE syndrome	1	['RNA binding motif protein 28']	[{'ExternalReference': [{'id': '143502', 'Source': 'Reactome', 'Reference': 'Q9NW13'}, {'id': '60104', 'Source': 'Ensembl', 'Reference': 'ENSG00000106344'}, {'id': '36860', 'Source': 'Genatlas', 'Reference': 'RBM28'}, {'id': '36862', 'Source': 'HGNC', 'Reference': '21863'}, {'id': '36861', 'Source': 'OMIM', 'Reference': '612074'}, {'id': '36863', 'Source': 'SwissProt', 'Reference': 'Q9NW13'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
755	157962	Oculoauricular syndrome, Schorderet type	1	['H6 family homeobox 1']	[{'ExternalReference': [{'id': '60105', 'Source': 'Ensembl', 'Reference': 'ENSG00000215612'}, {'id': '37137', 'Source': 'Genatlas', 'Reference': 'HMX1'}, {'id': '37139', 'Source': 'HGNC', 'Reference': '5017'}, {'id': '37138', 'Source': 'OMIM', 'Reference': '142992'}, {'id': '37140', 'Source': 'SwissProt', 'Reference': 'Q9NP08'}], 'count': '5'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
756	2078	Geroderma osteodysplastica	2	['golgin, RAB6 interacting', 'pyrroline-5-carboxylate reductase 1']	[{'ExternalReference': [{'id': '143938', 'Source': 'Reactome', 'Reference': 'Q5T7V8'}, {'id': '58135', 'Source': 'Ensembl', 'Reference': 'ENSG00000120370'}, {'id': '41681', 'Source': 'Genatlas', 'Reference': 'GORAB'}, {'id': '39977', 'Source': 'HGNC', 'Reference': '25676'}, {'id': '39978', 'Source': 'OMIM', 'Reference': '607983'}, {'id': '39979', 'Source': 'SwissProt', 'Reference': 'Q5T7V8'}], 'count': '6'}, {'ExternalReference': [{'id': '58136', 'Source': 'Ensembl', 'Reference': 'ENSG00000183010'}, {'id': '42451', 'Source': 'Genatlas', 'Reference': 'PYCR1'}, {'id': '42452', 'Source': 'HGNC', 'Reference': '9721'}, {'id': '42453', 'Source': 'OMIM', 'Reference': '179035'}, {'id': '58137', 'Source': 'Reactome', 'Reference': 'P32322'}, {'id': '42454', 'Source': 'SwissProt', 'Reference': 'P32322'}], 'count': '6'}]	['Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in']	['Assessed', 'Assessed']
757	157949	Combined immunodeficiency with granulomatosis	2	['recombination activating 1', 'recombination activating 2']	[{'ExternalReference': [{'id': '57896', 'Source': 'Ensembl', 'Reference': 'ENSG00000166349'}, {'id': '25311', 'Source': 'Genatlas', 'Reference': 'RAG1'}, {'id': '25309', 'Source': 'HGNC', 'Reference': '9831'}, {'id': '25308', 'Source': 'OMIM', 'Reference': '179615'}, {'id': '97160', 'Source': 'Reactome', 'Reference': 'P15918'}, {'id': '33708', 'Source': 'SwissProt', 'Reference': 'P15918'}], 'count': '6'}, {'ExternalReference': [{'id': '57897', 'Source': 'Ensembl', 'Reference': 'ENSG00000175097'}, {'id': '25313', 'Source': 'Genatlas', 'Reference': 'RAG2'}, {'id': '25315', 'Source': 'HGNC', 'Reference': '9832'}, {'id': '25314', 'Source': 'OMIM', 'Reference': '179616'}, {'id': '97161', 'Source': 'Reactome', 'Reference': 'P55895'}, {'id': '33709', 'Source': 'SwissProt', 'Reference': 'P55895'}], 'count': '6'}]	['Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in']	['Assessed', 'Assessed']
758	157973	Congenital muscular dystrophy due to LMNA mutation	1	['lamin A/C']	[{'ExternalReference': [{'id': '57460', 'Source': 'Ensembl', 'Reference': 'ENSG00000160789'}, {'id': '30964', 'Source': 'Genatlas', 'Reference': 'LMNA'}, {'id': '30962', 'Source': 'HGNC', 'Reference': '6636'}, {'id': '30961', 'Source': 'OMIM', 'Reference': '150330'}, {'id': '57461', 'Source': 'Reactome', 'Reference': 'P02545'}, {'id': '33429', 'Source': 'SwissProt', 'Reference': 'P02545'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
759	2084	Glaucoma-ectopia lentis-microspherophakia-stiff joints-short stature syndrome	1	['fibrillin 1']	[{'ExternalReference': [{'id': '57333', 'Source': 'Ensembl', 'Reference': 'ENSG00000166147'}, {'id': '29363', 'Source': 'Genatlas', 'Reference': 'FBN1'}, {'id': '29365', 'Source': 'HGNC', 'Reference': '3603'}, {'id': '29364', 'Source': 'OMIM', 'Reference': '134797'}, {'id': '57334', 'Source': 'Reactome', 'Reference': 'P35555'}, {'id': '33046', 'Source': 'SwissProt', 'Reference': 'P35555'}], 'count': '6'}]	['Candidate gene tested in']	['Not yet assessed']
760	157965	SLC39A13-related spondylodysplastic Ehlers-Danlos syndrome	1	['solute carrier family 39 member 13']	[{'ExternalReference': [{'id': '60106', 'Source': 'Ensembl', 'Reference': 'ENSG00000165915'}, {'id': '36826', 'Source': 'Genatlas', 'Reference': 'SLC39A13'}, {'id': '36828', 'Source': 'HGNC', 'Reference': '20859'}, {'id': '36827', 'Source': 'OMIM', 'Reference': '608735'}, {'id': '36829', 'Source': 'SwissProt', 'Reference': 'Q96H72'}], 'count': '5'}]	['Disease-causing germline mutation(s) in']	['Assessed']
761	1826	Frontometaphyseal dysplasia	2	['mitogen-activated protein kinase kinase kinase 7', 'filamin A']	[{'ExternalReference': [{'id': '126088', 'Source': 'HGNC', 'Reference': '6859'}, {'id': '126089', 'Source': 'OMIM', 'Reference': '602614'}, {'id': '126090', 'Source': 'Genatlas', 'Reference': 'MAP3K7'}, {'id': '126091', 'Source': 'SwissProt', 'Reference': 'O43318'}, {'id': '126092', 'Source': 'Reactome', 'Reference': 'O43318'}, {'id': '126093', 'Source': 'Ensembl', 'Reference': 'ENSG00000135341'}, {'id': '126094', 'Source': 'IUPHAR', 'Reference': '2082'}], 'count': '7'}, {'ExternalReference': [{'id': '57957', 'Source': 'Ensembl', 'Reference': 'ENSG00000196924'}, {'id': '29507', 'Source': 'Genatlas', 'Reference': 'FLNA'}, {'id': '29505', 'Source': 'HGNC', 'Reference': '3754'}, {'id': '29504', 'Source': 'OMIM', 'Reference': '300017'}, {'id': '57958', 'Source': 'Reactome', 'Reference': 'P21333'}, {'id': '33073', 'Source': 'SwissProt', 'Reference': 'P21333'}], 'count': '6'}]	['Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) (gain of function) in']	['Assessed', 'Assessed']
762	2050	Cole-Carpenter syndrome	2	['prolyl 4-hydroxylase subunit beta', 'SEC24 homolog D, COPII coat complex component']	[{'ExternalReference': [{'id': '95487', 'Source': 'Ensembl', 'Reference': 'ENSG00000185624'}, {'id': '95485', 'Source': 'Genatlas', 'Reference': 'P4HB'}, {'id': '95483', 'Source': 'HGNC', 'Reference': '8548'}, {'id': '95484', 'Source': 'OMIM', 'Reference': '176790'}, {'id': '95488', 'Source': 'Reactome', 'Reference': 'P07237'}, {'id': '95486', 'Source': 'SwissProt', 'Reference': 'P07237'}], 'count': '6'}, {'ExternalReference': [{'id': '95496', 'Source': 'Ensembl', 'Reference': 'ENSG00000150961'}, {'id': '95493', 'Source': 'Genatlas', 'Reference': 'SEC24D'}, {'id': '95491', 'Source': 'HGNC', 'Reference': '10706'}, {'id': '95492', 'Source': 'OMIM', 'Reference': '607186'}, {'id': '95495', 'Source': 'Reactome', 'Reference': 'O94855'}, {'id': '95494', 'Source': 'SwissProt', 'Reference': 'O94855'}], 'count': '6'}]	['Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in']	['Assessed', 'Assessed']
763	2059	Fryns syndrome	1	['phosphatidylinositol glycan anchor biosynthesis class N']	[{'ExternalReference': [{'id': '60566', 'Source': 'Ensembl', 'Reference': 'ENSG00000197563'}, {'id': '54169', 'Source': 'Genatlas', 'Reference': 'PIGN'}, {'id': '54167', 'Source': 'HGNC', 'Reference': '8967'}, {'id': '54168', 'Source': 'OMIM', 'Reference': '606097'}, {'id': '60567', 'Source': 'Reactome', 'Reference': 'O95427'}, {'id': '54170', 'Source': 'SwissProt', 'Reference': 'O95427'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
764	2026	Gingival fibromatosis-hypertrichosis syndrome	1	['ATP binding cassette subfamily A member 5']	[{'ExternalReference': [{'id': '126439', 'Source': 'Reactome', 'Reference': 'Q8WWZ7'}, {'id': '91657', 'Source': 'Ensembl', 'Reference': 'ENSG00000154265'}, {'id': '90656', 'Source': 'Genatlas', 'Reference': 'ABCA5'}, {'id': '90654', 'Source': 'HGNC', 'Reference': '35'}, {'id': '90655', 'Source': 'OMIM', 'Reference': '612503'}, {'id': '90657', 'Source': 'SwissProt', 'Reference': 'Q8WWZ7'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
765	2028	Juvenile hyaline fibromatosis	1	['ANTXR cell adhesion molecule 2']	[{'ExternalReference': [{'id': '58131', 'Source': 'Ensembl', 'Reference': 'ENSG00000163297'}, {'id': '28869', 'Source': 'Genatlas', 'Reference': 'ANTXR2'}, {'id': '28871', 'Source': 'HGNC', 'Reference': '21732'}, {'id': '28870', 'Source': 'OMIM', 'Reference': '608041'}, {'id': '91585', 'Source': 'Reactome', 'Reference': 'P58335'}, {'id': '32945', 'Source': 'SwissProt', 'Reference': 'P58335'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
766	158796	Classic mast cell leukemia	1	['KIT proto-oncogene, receptor tyrosine kinase']	[{'ExternalReference': [{'id': '58304', 'Source': 'Ensembl', 'Reference': 'ENSG00000157404'}, {'id': '30702', 'Source': 'Genatlas', 'Reference': 'KIT'}, {'id': '30700', 'Source': 'HGNC', 'Reference': '6342'}, {'id': '82976', 'Source': 'IUPHAR', 'Reference': '1805'}, {'id': '30699', 'Source': 'OMIM', 'Reference': '164920'}, {'id': '58305', 'Source': 'Reactome', 'Reference': 'P10721'}, {'id': '33373', 'Source': 'SwissProt', 'Reference': 'P10721'}], 'count': '7'}]	['Disease-causing somatic mutation(s) in']	['Assessed']
767	2021	Fibrochondrogenesis	2	['collagen type XI alpha 1 chain', 'collagen type XI alpha 2 chain']	[{'ExternalReference': [{'id': '57364', 'Source': 'Ensembl', 'Reference': 'ENSG00000060718'}, {'id': '28070', 'Source': 'Genatlas', 'Reference': 'COL11A1'}, {'id': '28072', 'Source': 'HGNC', 'Reference': '2186'}, {'id': '28071', 'Source': 'OMIM', 'Reference': '120280'}, {'id': '82862', 'Source': 'Reactome', 'Reference': 'P12107'}, {'id': '32735', 'Source': 'SwissProt', 'Reference': 'P12107'}], 'count': '6'}, {'ExternalReference': [{'id': '58068', 'Source': 'Ensembl', 'Reference': 'ENSG00000204248'}, {'id': '28078', 'Source': 'Genatlas', 'Reference': 'COL11A2'}, {'id': '28076', 'Source': 'HGNC', 'Reference': '2187'}, {'id': '28075', 'Source': 'OMIM', 'Reference': '120290'}, {'id': '82863', 'Source': 'Reactome', 'Reference': 'P13942'}, {'id': '32736', 'Source': 'SwissProt', 'Reference': 'P13942'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in', 'Disease-causing germline mutation(s) in']	['Assessed', 'Assessed']
768	158799	Aleukemic mast cell leukemia	1	['KIT proto-oncogene, receptor tyrosine kinase']	[{'ExternalReference': [{'id': '58304', 'Source': 'Ensembl', 'Reference': 'ENSG00000157404'}, {'id': '30702', 'Source': 'Genatlas', 'Reference': 'KIT'}, {'id': '30700', 'Source': 'HGNC', 'Reference': '6342'}, {'id': '82976', 'Source': 'IUPHAR', 'Reference': '1805'}, {'id': '30699', 'Source': 'OMIM', 'Reference': '164920'}, {'id': '58305', 'Source': 'Reactome', 'Reference': 'P10721'}, {'id': '33373', 'Source': 'SwissProt', 'Reference': 'P10721'}], 'count': '7'}]	['Disease-causing somatic mutation(s) in']	['Assessed']
769	2024	Hereditary gingival fibromatosis	3	['gingival fibromatosis, hereditary, 2', 'SOS Ras/Rac guanine nucleotide exchange factor 1', 'RE1 silencing transcription factor']	[{'count': '1', 'ExternalReference': {'id': '135477', 'Source': 'HGNC', 'Reference': '14252'}}, {'ExternalReference': [{'id': '56975', 'Source': 'Ensembl', 'Reference': 'ENSG00000115904'}, {'id': '27002', 'Source': 'Genatlas', 'Reference': 'SOS1'}, {'id': '27004', 'Source': 'HGNC', 'Reference': '11187'}, {'id': '27003', 'Source': 'OMIM', 'Reference': '182530'}, {'id': '56976', 'Source': 'Reactome', 'Reference': 'Q07889'}, {'id': '32508', 'Source': 'SwissProt', 'Reference': 'Q07889'}], 'count': '6'}, {'ExternalReference': [{'id': '98693', 'Source': 'Ensembl', 'Reference': 'ENSG00000084093'}, {'id': '98690', 'Source': 'Genatlas', 'Reference': 'REST'}, {'id': '98688', 'Source': 'HGNC', 'Reference': '9966'}, {'id': '98689', 'Source': 'OMIM', 'Reference': '600571'}, {'id': '98692', 'Source': 'Reactome', 'Reference': 'Q13127'}, {'id': '98691', 'Source': 'SwissProt', 'Reference': 'Q13127'}], 'count': '6'}]	['Candidate gene tested in', 'Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in']	['Not yet assessed', 'Assessed', 'Assessed']
770	2044	Floating-Harbor syndrome	1	['Snf2 related CREBBP activator protein']	[{'ExternalReference': [{'id': '83259', 'Source': 'Ensembl', 'Reference': 'ENSG00000080603'}, {'id': '61010', 'Source': 'Genatlas', 'Reference': 'SRCAP'}, {'id': '61008', 'Source': 'HGNC', 'Reference': '16974'}, {'id': '61009', 'Source': 'OMIM', 'Reference': '611421'}, {'id': '61011', 'Source': 'SwissProt', 'Reference': 'Q6ZRS2'}], 'count': '5'}]	['Disease-causing germline mutation(s) in']	['Assessed']
771	2036	Scalp-ear-nipple syndrome	1	['potassium channel tetramerization domain containing 1']	[{'ExternalReference': [{'id': '78724', 'Source': 'SwissProt', 'Reference': 'Q719H9'}, {'id': '83778', 'Source': 'Ensembl', 'Reference': 'ENSG00000134504'}, {'id': '78723', 'Source': 'Genatlas', 'Reference': 'KCTD1'}, {'id': '78721', 'Source': 'HGNC', 'Reference': '18249'}, {'id': '78722', 'Source': 'OMIM', 'Reference': '613420'}, {'id': '126420', 'Source': 'Reactome', 'Reference': 'Q719H9'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
772	158769	Plaque-form urticaria pigmentosa	1	['KIT proto-oncogene, receptor tyrosine kinase']	[{'ExternalReference': [{'id': '58304', 'Source': 'Ensembl', 'Reference': 'ENSG00000157404'}, {'id': '30702', 'Source': 'Genatlas', 'Reference': 'KIT'}, {'id': '30700', 'Source': 'HGNC', 'Reference': '6342'}, {'id': '82976', 'Source': 'IUPHAR', 'Reference': '1805'}, {'id': '30699', 'Source': 'OMIM', 'Reference': '164920'}, {'id': '58305', 'Source': 'Reactome', 'Reference': 'P10721'}, {'id': '33373', 'Source': 'SwissProt', 'Reference': 'P10721'}], 'count': '7'}]	['Disease-causing germline mutation(s) in']	['Assessed']
773	158766	Typical urticaria pigmentosa	1	['KIT proto-oncogene, receptor tyrosine kinase']	[{'ExternalReference': [{'id': '58304', 'Source': 'Ensembl', 'Reference': 'ENSG00000157404'}, {'id': '30702', 'Source': 'Genatlas', 'Reference': 'KIT'}, {'id': '30700', 'Source': 'HGNC', 'Reference': '6342'}, {'id': '82976', 'Source': 'IUPHAR', 'Reference': '1805'}, {'id': '30699', 'Source': 'OMIM', 'Reference': '164920'}, {'id': '58305', 'Source': 'Reactome', 'Reference': 'P10721'}, {'id': '33373', 'Source': 'SwissProt', 'Reference': 'P10721'}], 'count': '7'}]	['Disease-causing germline mutation(s) in']	['Assessed']
774	158687	Lethal acantholytic epidermolysis bullosa	2	['desmoplakin', 'junction plakoglobin']	[{'ExternalReference': [{'id': '59098', 'Source': 'Ensembl', 'Reference': 'ENSG00000096696'}, {'id': '28695', 'Source': 'Genatlas', 'Reference': 'DSP'}, {'id': '28693', 'Source': 'HGNC', 'Reference': '3052'}, {'id': '28692', 'Source': 'OMIM', 'Reference': '125647'}, {'id': '59099', 'Source': 'Reactome', 'Reference': 'P15924'}, {'id': '32906', 'Source': 'SwissProt', 'Reference': 'P15924'}], 'count': '6'}, {'ExternalReference': [{'id': '30580', 'Source': 'HGNC', 'Reference': '6207'}, {'id': '30579', 'Source': 'OMIM', 'Reference': '173325'}, {'id': '58983', 'Source': 'Reactome', 'Reference': 'P14923'}, {'id': '33348', 'Source': 'SwissProt', 'Reference': 'P14923'}, {'id': '58982', 'Source': 'Ensembl', 'Reference': 'ENSG00000173801'}, {'id': '30578', 'Source': 'Genatlas', 'Reference': 'JUP'}], 'count': '6'}]	['Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in']	['Assessed', 'Assessed']
775	158684	Epidermolysis bullosa simplex with pyloric atresia	2	['plectin', 'integrin subunit beta 4']	[{'ExternalReference': [{'id': '58735', 'Source': 'Ensembl', 'Reference': 'ENSG00000178209'}, {'id': '46835', 'Source': 'Genatlas', 'Reference': 'PLEC'}, {'id': '24936', 'Source': 'HGNC', 'Reference': '9069'}, {'id': '24935', 'Source': 'OMIM', 'Reference': '601282'}, {'id': '58736', 'Source': 'Reactome', 'Reference': 'Q15149'}, {'id': '32797', 'Source': 'SwissProt', 'Reference': 'Q15149'}], 'count': '6'}, {'ExternalReference': [{'id': '59398', 'Source': 'Ensembl', 'Reference': 'ENSG00000132470'}, {'id': '30542', 'Source': 'Genatlas', 'Reference': 'ITGB4'}, {'id': '30540', 'Source': 'HGNC', 'Reference': '6158'}, {'id': '30539', 'Source': 'OMIM', 'Reference': '147557'}, {'id': '59399', 'Source': 'Reactome', 'Reference': 'P16144'}, {'id': '33340', 'Source': 'SwissProt', 'Reference': 'P16144'}], 'count': '6'}]	['Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in']	['Assessed', 'Assessed']
776	158681	Epidermolysis bullosa simplex with circinate migratory erythema	1	['keratin 5']	[{'ExternalReference': [{'id': '59300', 'Source': 'Ensembl', 'Reference': 'ENSG00000186081'}, {'id': '30763', 'Source': 'Genatlas', 'Reference': 'KRT5'}, {'id': '30765', 'Source': 'HGNC', 'Reference': '6442'}, {'id': '30764', 'Source': 'OMIM', 'Reference': '148040'}, {'id': '59301', 'Source': 'Reactome', 'Reference': 'P13647'}, {'id': '33387', 'Source': 'SwissProt', 'Reference': 'P13647'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
777	158676	Dominant dystrophic epidermolysis bullosa, nails only	1	['collagen type VII alpha 1 chain']	[{'ExternalReference': [{'id': '59408', 'Source': 'Ensembl', 'Reference': 'ENSG00000114270'}, {'id': '28159', 'Source': 'Genatlas', 'Reference': 'COL7A1'}, {'id': '28157', 'Source': 'HGNC', 'Reference': '2214'}, {'id': '28156', 'Source': 'OMIM', 'Reference': '120120'}, {'id': '82866', 'Source': 'Reactome', 'Reference': 'Q02388'}, {'id': '32753', 'Source': 'SwissProt', 'Reference': 'Q02388'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
778	158673	Acral dystrophic epidermolysis bullosa	1	['collagen type VII alpha 1 chain']	[{'ExternalReference': [{'id': '59408', 'Source': 'Ensembl', 'Reference': 'ENSG00000114270'}, {'id': '28159', 'Source': 'Genatlas', 'Reference': 'COL7A1'}, {'id': '28157', 'Source': 'HGNC', 'Reference': '2214'}, {'id': '28156', 'Source': 'OMIM', 'Reference': '120120'}, {'id': '82866', 'Source': 'Reactome', 'Reference': 'Q02388'}, {'id': '32753', 'Source': 'SwissProt', 'Reference': 'Q02388'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
779	158668	Epidermolysis bullosa simplex due to plakophilin deficiency	1	['plakophilin 1']	[{'ExternalReference': [{'id': '59209', 'Source': 'Ensembl', 'Reference': 'ENSG00000081277'}, {'id': '24922', 'Source': 'Genatlas', 'Reference': 'PKP1'}, {'id': '24920', 'Source': 'HGNC', 'Reference': '9023'}, {'id': '24919', 'Source': 'OMIM', 'Reference': '601975'}, {'id': '59210', 'Source': 'Reactome', 'Reference': 'Q13835'}, {'id': '32794', 'Source': 'SwissProt', 'Reference': 'Q13835'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
780	158793	Lymphoadenopathic mastocytosis with eosinophilia	1	['KIT proto-oncogene, receptor tyrosine kinase']	[{'ExternalReference': [{'id': '58304', 'Source': 'Ensembl', 'Reference': 'ENSG00000157404'}, {'id': '30702', 'Source': 'Genatlas', 'Reference': 'KIT'}, {'id': '30700', 'Source': 'HGNC', 'Reference': '6342'}, {'id': '82976', 'Source': 'IUPHAR', 'Reference': '1805'}, {'id': '30699', 'Source': 'OMIM', 'Reference': '164920'}, {'id': '58305', 'Source': 'Reactome', 'Reference': 'P10721'}, {'id': '33373', 'Source': 'SwissProt', 'Reference': 'P10721'}], 'count': '7'}]	['Disease-causing somatic mutation(s) in']	['Assessed']
781	158778	Isolated bone marrow mastocytosis	1	['KIT proto-oncogene, receptor tyrosine kinase']	[{'ExternalReference': [{'id': '58304', 'Source': 'Ensembl', 'Reference': 'ENSG00000157404'}, {'id': '30702', 'Source': 'Genatlas', 'Reference': 'KIT'}, {'id': '30700', 'Source': 'HGNC', 'Reference': '6342'}, {'id': '82976', 'Source': 'IUPHAR', 'Reference': '1805'}, {'id': '30699', 'Source': 'OMIM', 'Reference': '164920'}, {'id': '58305', 'Source': 'Reactome', 'Reference': 'P10721'}, {'id': '33373', 'Source': 'SwissProt', 'Reference': 'P10721'}], 'count': '7'}]	['Disease-causing somatic mutation(s) in']	['Assessed']
782	158775	Smoldering systemic mastocytosis	1	['KIT proto-oncogene, receptor tyrosine kinase']	[{'ExternalReference': [{'id': '58304', 'Source': 'Ensembl', 'Reference': 'ENSG00000157404'}, {'id': '30702', 'Source': 'Genatlas', 'Reference': 'KIT'}, {'id': '30700', 'Source': 'HGNC', 'Reference': '6342'}, {'id': '82976', 'Source': 'IUPHAR', 'Reference': '1805'}, {'id': '30699', 'Source': 'OMIM', 'Reference': '164920'}, {'id': '58305', 'Source': 'Reactome', 'Reference': 'P10721'}, {'id': '33373', 'Source': 'SwissProt', 'Reference': 'P10721'}], 'count': '7'}]	['Disease-causing somatic mutation(s) in']	['Assessed']
